,Postcode,Population,Households
1639140,NR12 9EF,43.0,18.0
1639141,NR12 9EG,79.0,46.0
1639142,NR12 9EH,31.0,25.0
1639143,NR12 9EJ,12.0,5.0
1639144,NR12 9EL,7.0,3.0
1639145,NR12 9EN,7.0,4.0
1639146,NR12 9EP,26.0,9.0
1639147,NR12 9EQ,28.0,23.0
1639149,NR12 9ES,17.0,7.0
1639150,NR12 9ET,3.0,2.0
1639151,NR12 9EU,7.0,3.0
1639152,NR12 9EW,24.0,21.0
1639153,NR12 9EX,12.0,3.0
1639154,NR12 9EY,4.0,1.0
1639155,NR12 9EZ,2.0,1.0
1639156,NR12 9FA,32.0,17.0
1639157,NR12 9FB,4.0,2.0
1639159,NR12 9FE,21.0,16.0
1639160,NR12 9FF,15.0,7.0
1639176,NR12 9GA,8.0,4.0
1639178,NR12 9GZ,8.0,4.0
1639179,NR12 9HA,10.0,4.0
1639180,NR12 9HB,8.0,3.0
1639181,NR12 9HD,8.0,3.0
1639182,NR12 9HE,1.0,1.0
1639183,NR12 9HF,6.0,3.0
1639184,NR12 9HG,2.0,1.0
1639185,NR12 9HH,8.0,3.0
1639186,NR12 9HJ,6.0,2.0
1639187,NR12 9HL,7.0,3.0
1639188,NR12 9HN,2.0,1.0
1639189,NR12 9HP,5.0,2.0
1639190,NR12 9HQ,8.0,4.0
1639191,NR12 9HR,6.0,2.0
1639192,NR12 9HS,2.0,1.0
1639193,NR12 9HT,4.0,2.0
1639194,NR12 9HU,4.0,1.0
1639195,NR12 9HW,5.0,1.0
1639196,NR12 9HX,6.0,2.0
1639197,NR12 9HY,17.0,5.0
1639198,NR12 9HZ,8.0,4.0
1639199,NR12 9JA,13.0,5.0
1639200,NR12 9JB,4.0,1.0
1639201,NR12 9JD,26.0,9.0
1639202,NR12 9JE,13.0,5.0
1639204,NR12 9JG,39.0,15.0
1639205,NR12 9JH,38.0,17.0
1639206,NR12 9JJ,115.0,44.0
1639207,NR12 9JL,6.0,2.0
1639208,NR12 9JN,23.0,9.0
1639209,NR12 9JP,11.0,6.0
1639210,NR12 9JQ,7.0,3.0
1639211,NR12 9JR,8.0,3.0
1639212,NR12 9JS,28.0,6.0
1639213,NR12 9JT,78.0,34.0
1639214,NR12 9JU,9.0,4.0
1639215,NR12 9JW,9.0,3.0
1639216,NR12 9JX,12.0,2.0
1639218,NR12 9JZ,7.0,4.0
1639219,NR12 9LA,4.0,3.0
1639223,NR12 9LG,1.0,1.0
1639224,NR12 9LH,21.0,10.0
1639225,NR12 9LJ,21.0,7.0
1639226,NR12 9LL,26.0,9.0
1639227,NR12 9LN,8.0,2.0
1639228,NR12 9LP,8.0,4.0
1639229,NR12 9LQ,35.0,17.0
1639230,NR12 9LR,48.0,20.0
1639231,NR12 9LS,3.0,1.0
1639233,NR12 9LU,29.0,11.0
1639234,NR12 9LW,36.0,19.0
1639235,NR12 9LX,8.0,4.0
1639237,NR12 9LZ,40.0,11.0
1639239,NR12 9NB,2.0,1.0
1639240,NR12 9ND,3.0,2.0
1639241,NR12 9NE,52.0,25.0
1639242,NR12 9NG,45.0,21.0
1639243,NR12 9NH,65.0,26.0
1639244,NR12 9NJ,38.0,18.0
1639245,NR12 9NL,14.0,8.0
1639246,NR12 9NN,4.0,2.0
1639247,NR12 9NP,4.0,2.0
1639248,NR12 9NQ,8.0,4.0
1639249,NR12 9NR,5.0,1.0
1639250,NR12 9NS,20.0,9.0
1639251,NR12 9NT,18.0,5.0
1639252,NR12 9NU,4.0,2.0
1639253,NR12 9NW,22.0,10.0
1639256,NR12 9NZ,64.0,35.0
1639257,NR12 9PA,81.0,36.0
1639258,NR12 9PB,134.0,63.0
1639259,NR12 9PD,14.0,6.0
1639260,NR12 9PE,6.0,2.0
1639261,NR12 9PF,9.0,5.0
1639263,NR12 9PH,100.0,47.0
1639264,NR12 9PJ,80.0,34.0
1639265,NR12 9PL,67.0,38.0
1639266,NR12 9PN,7.0,5.0
1639267,NR12 9PP,12.0,5.0
1639268,NR12 9PQ,11.0,4.0
1639269,NR12 9PR,1.0,1.0
1639270,NR12 9PS,11.0,6.0
1639271,NR12 9PT,10.0,6.0
1639272,NR12 9PU,21.0,8.0
1639273,NR12 9PW,82.0,32.0
1639274,NR12 9PX,4.0,2.0
1639275,NR12 9PY,2.0,1.0
1639276,NR12 9PZ,16.0,7.0
1639277,NR12 9QA,31.0,13.0
1639278,NR12 9QB,16.0,4.0
1639279,NR12 9QD,31.0,15.0
1639280,NR12 9QE,3.0,2.0
1639281,NR12 9QF,7.0,3.0
1639283,NR12 9QH,5.0,2.0
1639284,NR12 9QJ,8.0,3.0
1639285,NR12 9QL,21.0,8.0
1639286,NR12 9QN,61.0,26.0
1639287,NR12 9QP,91.0,47.0
1639288,NR12 9QQ,12.0,6.0
1639289,NR12 9QR,14.0,7.0
1639290,NR12 9QS,3.0,2.0
1639291,NR12 9QT,2.0,2.0
1639292,NR12 9QU,3.0,2.0
1639293,NR12 9QW,42.0,20.0
1639294,NR12 9QX,25.0,11.0
1639295,NR12 9QY,30.0,13.0
1639296,NR12 9QZ,7.0,4.0
1639298,NR12 9RB,41.0,21.0
1639299,NR12 9RD,6.0,1.0
1639300,NR12 9RE,50.0,29.0
1639301,NR12 9RF,121.0,54.0
1639302,NR12 9RG,6.0,3.0
1639304,NR12 9RJ,5.0,1.0
1639305,NR12 9RL,23.0,8.0
1639306,NR12 9RN,48.0,19.0
1639307,NR12 9RP,89.0,36.0
1639308,NR12 9RQ,83.0,38.0
1639309,NR12 9RR,110.0,39.0
1639311,NR12 9RT,9.0,4.0
1639312,NR12 9RU,17.0,5.0
1639313,NR12 9RW,32.0,11.0
1639314,NR12 9RX,3.0,2.0
1639316,NR12 9RZ,38.0,17.0
1639317,NR12 9SA,5.0,3.0
1639318,NR12 9SB,16.0,5.0
1639319,NR12 9SD,51.0,15.0
1639320,NR12 9SE,55.0,21.0
1639322,NR12 9SG,21.0,9.0
1639323,NR12 9SH,24.0,10.0
1639326,NR12 9SN,4.0,2.0
1639327,NR12 9SP,2.0,1.0
1639329,NR12 9SR,2.0,1.0
1639330,NR12 9SS,4.0,2.0
1639331,NR12 9ST,14.0,6.0
1639332,NR12 9SU,12.0,4.0
1639333,NR12 9SX,12.0,6.0
1639334,NR12 9SY,3.0,1.0
1639335,NR12 9SZ,8.0,4.0
1639336,NR12 9TA,24.0,13.0
1639337,NR12 9TB,8.0,2.0
1639338,NR12 9TD,13.0,7.0
1639339,NR12 9TE,4.0,2.0
1639340,NR12 9TF,36.0,17.0
1639341,NR12 9TG,8.0,3.0
1639342,NR12 9TH,4.0,2.0
1639344,NR12 9TQ,34.0,16.0
1639372,NR13 3AA,48.0,24.0
1639373,NR13 3AB,25.0,9.0
1639374,NR13 3AD,10.0,6.0
1639376,NR13 3AF,10.0,5.0
1639377,NR13 3AG,13.0,3.0
1639378,NR13 3AH,38.0,18.0
1639379,NR13 3AJ,49.0,21.0
1639380,NR13 3AL,15.0,6.0
1639381,NR13 3AN,3.0,1.0
1639382,NR13 3AP,48.0,26.0
1639383,NR13 3AQ,4.0,4.0
1639384,NR13 3AR,59.0,27.0
1639386,NR13 3AT,11.0,4.0
1639387,NR13 3AU,5.0,1.0
1639389,NR13 3AX,11.0,4.0
1639390,NR13 3AY,2.0,1.0
1639391,NR13 3AZ,18.0,8.0
1639392,NR13 3BA,25.0,9.0
1639394,NR13 3BD,23.0,11.0
1639395,NR13 3BE,23.0,10.0
1639396,NR13 3BF,13.0,4.0
1639397,NR13 3BG,42.0,24.0
1639398,NR13 3BH,14.0,6.0
1639399,NR13 3BJ,87.0,35.0
1639400,NR13 3BL,96.0,55.0
1639401,NR13 3BN,45.0,28.0
1639402,NR13 3BP,82.0,46.0
1639403,NR13 3BQ,8.0,2.0
1639404,NR13 3BS,22.0,16.0
1639406,NR13 3BU,30.0,12.0
1639407,NR13 3BW,26.0,14.0
1639408,NR13 3BX,29.0,0.0
1639409,NR13 3BY,7.0,3.0
1639410,NR13 3BZ,4.0,1.0
1639411,NR13 3DA,37.0,15.0
1639413,NR13 3DD,88.0,30.0
1639414,NR13 3DE,41.0,18.0
1639415,NR13 3DF,23.0,12.0
1639416,NR13 3DG,9.0,5.0
1639417,NR13 3DH,58.0,28.0
1639418,NR13 3DJ,67.0,27.0
1639419,NR13 3DL,45.0,19.0
1639421,NR13 3DP,20.0,8.0
1639422,NR13 3DQ,11.0,7.0
1639423,NR13 3DR,11.0,5.0
1639424,NR13 3DS,15.0,5.0
1639426,NR13 3DU,29.0,15.0
1639427,NR13 3DW,61.0,25.0
1639428,NR13 3DX,46.0,22.0
1639429,NR13 3DY,7.0,5.0
1639431,NR13 3EA,43.0,15.0
1639432,NR13 3EB,13.0,8.0
1639433,NR13 3ED,14.0,8.0
1639434,NR13 3EE,9.0,4.0
1639436,NR13 3EG,25.0,9.0
1639437,NR13 3EH,105.0,48.0
1639438,NR13 3EJ,24.0,14.0
1639439,NR13 3EL,55.0,25.0
1639440,NR13 3EN,12.0,6.0
1639441,NR13 3EP,18.0,7.0
1639442,NR13 3EQ,54.0,20.0
1639443,NR13 3ER,17.0,7.0
1639444,NR13 3ES,24.0,6.0
1639445,NR13 3ET,120.0,59.0
1639446,NR13 3EU,9.0,3.0
1639447,NR13 3EW,59.0,20.0
1639449,NR13 3EY,68.0,26.0
1639452,NR13 3FB,9.0,4.0
1639464,NR13 3GA,22.0,20.0
1639465,NR13 3GX,7.0,4.0
1639466,NR13 3GY,13.0,3.0
1639467,NR13 3GZ,8.0,4.0
1639468,NR13 3HA,5.0,1.0
1639470,NR13 3HD,11.0,4.0
1639471,NR13 3HE,13.0,7.0
1639473,NR13 3HG,17.0,11.0
1639474,NR13 3HH,74.0,29.0
1639475,NR13 3HJ,20.0,11.0
1639476,NR13 3HL,13.0,6.0
1639477,NR13 3HN,14.0,8.0
1639478,NR13 3HP,8.0,5.0
1639481,NR13 3HS,17.0,8.0
1639482,NR13 3HT,26.0,9.0
1639483,NR13 3HU,2.0,2.0
1639484,NR13 3HW,12.0,4.0
1639485,NR13 3HX,9.0,4.0
1639486,NR13 3HY,2.0,1.0
1639487,NR13 3HZ,14.0,8.0
1639488,NR13 3JA,6.0,2.0
1639489,NR13 3JB,27.0,8.0
1639490,NR13 3JD,5.0,1.0
1639491,NR13 3JE,30.0,11.0
1639492,NR13 3JF,97.0,41.0
1639493,NR13 3JG,10.0,5.0
1639494,NR13 3JH,9.0,3.0
1639495,NR13 3JJ,2.0,1.0
1639496,NR13 3JL,15.0,5.0
1639497,NR13 3JN,12.0,4.0
1639498,NR13 3JP,70.0,24.0
1639499,NR13 3JQ,2.0,1.0
1639500,NR13 3JR,54.0,23.0
1639501,NR13 3JS,3.0,2.0
1639502,NR13 3JT,18.0,6.0
1639503,NR13 3JU,2.0,1.0
1639504,NR13 3JW,56.0,25.0
1639505,NR13 3JX,3.0,2.0
1639506,NR13 3JY,3.0,2.0
1639507,NR13 3JZ,27.0,9.0
1639508,NR13 3LA,10.0,4.0
1639509,NR13 3LB,27.0,16.0
1639510,NR13 3LD,6.0,3.0
1639511,NR13 3LE,59.0,29.0
1639512,NR13 3LF,59.0,23.0
1639513,NR13 3LG,8.0,3.0
1639514,NR13 3LH,8.0,2.0
1639515,NR13 3LJ,9.0,4.0
1639516,NR13 3LL,23.0,8.0
1639517,NR13 3LN,1.0,1.0
1639518,NR13 3LP,4.0,1.0
1639520,NR13 3LR,13.0,8.0
1639521,NR13 3LS,2.0,1.0
1639522,NR13 3LT,128.0,51.0
1639523,NR13 3LU,43.0,19.0
1639524,NR13 3LW,10.0,5.0
1639525,NR13 3LX,63.0,26.0
1639526,NR13 3LY,101.0,43.0
1639527,NR13 3LZ,14.0,8.0
1639528,NR13 3NA,16.0,5.0
1639529,NR13 3NB,32.0,10.0
1639530,NR13 3ND,12.0,4.0
1639531,NR13 3NE,16.0,4.0
1639532,NR13 3NF,11.0,5.0
1639533,NR13 3NG,2.0,1.0
1639534,NR13 3NH,4.0,1.0
1639535,NR13 3NJ,5.0,2.0
1639536,NR13 3NL,4.0,1.0
1639537,NR13 3NN,11.0,4.0
1639538,NR13 3NP,18.0,5.0
1639539,NR13 3NQ,18.0,7.0
1639541,NR13 3NS,9.0,3.0
1639542,NR13 3NT,10.0,4.0
1639543,NR13 3NU,19.0,7.0
1639544,NR13 3NW,11.0,3.0
1639545,NR13 3NX,64.0,34.0
1639546,NR13 3NY,158.0,57.0
1639547,NR13 3NZ,14.0,3.0
1639548,NR13 3PA,45.0,17.0
1639549,NR13 3PB,7.0,3.0
1639550,NR13 3PD,16.0,6.0
1639551,NR13 3PE,4.0,1.0
1639552,NR13 3PF,22.0,9.0
1639553,NR13 3PG,54.0,20.0
1639554,NR13 3PH,1.0,1.0
1639555,NR13 3PJ,27.0,12.0
1639556,NR13 3PL,25.0,12.0
1639557,NR13 3PN,5.0,2.0
1639558,NR13 3PP,52.0,22.0
1639560,NR13 3PR,5.0,2.0
1639561,NR13 3PS,31.0,9.0
1639562,NR13 3PT,6.0,4.0
1639563,NR13 3PU,9.0,4.0
1639564,NR13 3PW,13.0,7.0
1639565,NR13 3PX,21.0,8.0
1639566,NR13 3PY,41.0,17.0
1639567,NR13 3PZ,31.0,16.0
1639568,NR13 3QA,57.0,20.0
1639569,NR13 3QB,56.0,20.0
1639570,NR13 3QD,2.0,1.0
1639571,NR13 3QE,3.0,1.0
1639572,NR13 3QF,13.0,4.0
1639573,NR13 3QG,16.0,7.0
1639574,NR13 3QH,43.0,15.0
1639575,NR13 3QJ,26.0,10.0
1639576,NR13 3QL,65.0,35.0
1639577,NR13 3QN,56.0,23.0
1639578,NR13 3QP,15.0,6.0
1639580,NR13 3QR,4.0,1.0
1639581,NR13 3QS,12.0,4.0
1639582,NR13 3QT,33.0,12.0
1639583,NR13 3QU,3.0,1.0
1639584,NR13 3QW,15.0,7.0
1639585,NR13 3QX,3.0,3.0
1639587,NR13 3QZ,51.0,21.0
1639588,NR13 3RA,50.0,21.0
1639589,NR13 3RB,26.0,15.0
1639590,NR13 3RD,21.0,10.0
1639591,NR13 3RE,32.0,20.0
1639592,NR13 3RF,20.0,8.0
1639593,NR13 3RG,33.0,19.0
1639594,NR13 3RH,66.0,24.0
1639595,NR13 3RJ,23.0,19.0
1639596,NR13 3RL,42.0,32.0
1639597,NR13 3RN,17.0,8.0
1639598,NR13 3RP,4.0,2.0
1639599,NR13 3RQ,77.0,30.0
1639600,NR13 3RR,7.0,3.0
1639602,NR13 3RT,44.0,20.0
1639603,NR13 3RU,10.0,3.0
1639604,NR13 3RW,38.0,18.0
1639605,NR13 3RX,9.0,3.0
1639606,NR13 3RY,5.0,2.0
1639607,NR13 3RZ,3.0,2.0
1639608,NR13 3SA,37.0,15.0
1639609,NR13 3SB,7.0,2.0
1639610,NR13 3SD,2.0,1.0
1639611,NR13 3SE,3.0,1.0
1639612,NR13 3SF,7.0,2.0
1639613,NR13 3SG,23.0,11.0
1639614,NR13 3SH,32.0,13.0
1639615,NR13 3SJ,1.0,1.0
1639616,NR13 3SL,18.0,8.0
1639617,NR13 3SN,116.0,44.0
1639618,NR13 3SP,23.0,10.0
1639619,NR13 3SQ,41.0,13.0
1639620,NR13 3SR,25.0,13.0
1639621,NR13 3SS,22.0,10.0
1639624,NR13 3SW,11.0,5.0
1639625,NR13 3SX,28.0,10.0
1639626,NR13 3SY,8.0,3.0
1639627,NR13 3SZ,77.0,28.0
1639628,NR13 3TA,58.0,23.0
1639629,NR13 3TB,27.0,18.0
1639630,NR13 3TD,19.0,8.0
1639631,NR13 3TE,29.0,16.0
1639632,NR13 3TF,19.0,9.0
1639633,NR13 3TG,16.0,9.0
1639634,NR13 3TH,48.0,20.0
1639635,NR13 3TJ,6.0,2.0
1639636,NR13 3TL,15.0,10.0
1639637,NR13 3TN,65.0,29.0
1639638,NR13 3TP,30.0,12.0
1639639,NR13 3TQ,14.0,7.0
1639640,NR13 3TR,106.0,39.0
1639641,NR13 3TS,25.0,10.0
1639642,NR13 3TT,22.0,10.0
1639643,NR13 3TU,34.0,17.0
1639644,NR13 3TW,12.0,6.0
1639645,NR13 3TX,25.0,12.0
1639646,NR13 3TY,24.0,11.0
1639647,NR13 3TZ,110.0,20.0
1639649,NR13 3UB,2.0,1.0
1639651,NR13 3UE,5.0,3.0
1639652,NR13 3UF,26.0,13.0
1639654,NR13 3UH,9.0,3.0
1639655,NR13 3UL,2.0,1.0
1639668,NR13 3XA,71.0,22.0
1639669,NR13 3XB,26.0,11.0
1639670,NR13 3XD,47.0,19.0
1639671,NR13 3XE,8.0,3.0
1639681,NR13 4AA,46.0,17.0
1639682,NR13 4AB,21.0,10.0
1639683,NR13 4AD,37.0,22.0
1639685,NR13 4AF,23.0,7.0
1639686,NR13 4AG,69.0,26.0
1639687,NR13 4AH,6.0,2.0
1639689,NR13 4AL,3.0,1.0
1639690,NR13 4AN,2.0,1.0
1639691,NR13 4AP,2.0,1.0
1639692,NR13 4AQ,53.0,19.0
1639693,NR13 4AR,29.0,13.0
1639694,NR13 4AS,18.0,5.0
1639695,NR13 4AT,12.0,7.0
1639696,NR13 4AU,46.0,21.0
1639697,NR13 4AW,45.0,16.0
1639698,NR13 4AX,20.0,12.0
1639699,NR13 4AY,40.0,18.0
1639700,NR13 4AZ,81.0,29.0
1639701,NR13 4BA,116.0,64.0
1639702,NR13 4BB,50.0,21.0
1639703,NR13 4BD,41.0,18.0
1639704,NR13 4BE,22.0,8.0
1639705,NR13 4BF,12.0,6.0
1639706,NR13 4BG,31.0,16.0
1639707,NR13 4BH,91.0,36.0
1639708,NR13 4BJ,46.0,22.0
1639709,NR13 4BL,55.0,21.0
1639710,NR13 4BN,37.0,17.0
1639711,NR13 4BP,91.0,39.0
1639712,NR13 4BQ,52.0,20.0
1639713,NR13 4BS,50.0,23.0
1639714,NR13 4BT,55.0,25.0
1639715,NR13 4BU,74.0,30.0
1639716,NR13 4BW,76.0,49.0
1639717,NR13 4BX,41.0,12.0
1639718,NR13 4BY,5.0,2.0
1639719,NR13 4BZ,11.0,7.0
1639720,NR13 4DA,5.0,2.0
1639721,NR13 4DB,7.0,4.0
1639722,NR13 4DD,33.0,17.0
1639723,NR13 4DE,17.0,7.0
1639724,NR13 4DF,8.0,4.0
1639725,NR13 4DG,16.0,7.0
1639726,NR13 4DH,6.0,2.0
1639727,NR13 4DJ,2.0,1.0
1639729,NR13 4DN,15.0,6.0
1639730,NR13 4DP,23.0,6.0
1639731,NR13 4DQ,9.0,3.0
1639732,NR13 4DR,5.0,2.0
1639733,NR13 4DS,9.0,5.0
1639734,NR13 4DT,5.0,3.0
1639736,NR13 4DW,8.0,4.0
1639740,NR13 4EA,9.0,2.0
1639741,NR13 4EB,2.0,2.0
1639742,NR13 4ED,3.0,1.0
1639743,NR13 4EE,5.0,3.0
1639744,NR13 4EF,10.0,3.0
1639745,NR13 4EG,4.0,1.0
1639746,NR13 4EH,15.0,9.0
1639747,NR13 4EJ,19.0,6.0
1639748,NR13 4EL,11.0,4.0
1639749,NR13 4EN,5.0,2.0
1639750,NR13 4EP,89.0,32.0
1639751,NR13 4EQ,17.0,0.0
1639752,NR13 4ER,3.0,2.0
1639753,NR13 4ES,4.0,1.0
1639754,NR13 4ET,32.0,10.0
1639755,NR13 4EU,11.0,4.0
1639756,NR13 4EW,122.0,51.0
1639757,NR13 4EX,9.0,4.0
1639758,NR13 4EY,10.0,3.0
1639759,NR13 4EZ,17.0,5.0
1639760,NR13 4FA,4.0,2.0
1639761,NR13 4FB,4.0,3.0
1639775,NR13 4GJ,38.0,14.0
1639777,NR13 4HA,5.0,1.0
1639778,NR13 4HB,21.0,8.0
1639779,NR13 4HD,6.0,3.0
1639780,NR13 4HE,14.0,7.0
1639781,NR13 4HF,3.0,1.0
1639782,NR13 4HG,21.0,8.0
1639783,NR13 4HH,19.0,8.0
1639784,NR13 4HJ,3.0,1.0
1639785,NR13 4HL,4.0,2.0
1639786,NR13 4HN,7.0,3.0
1639787,NR13 4HP,3.0,2.0
1639788,NR13 4HQ,15.0,4.0
1639789,NR13 4HR,7.0,4.0
1639790,NR13 4HS,25.0,10.0
1639791,NR13 4HT,4.0,2.0
1639792,NR13 4HU,14.0,5.0
1639793,NR13 4HW,5.0,2.0
1639794,NR13 4HX,4.0,2.0
1639795,NR13 4HY,28.0,14.0
1639796,NR13 4HZ,13.0,6.0
1639797,NR13 4JA,4.0,1.0
1639798,NR13 4JB,140.0,59.0
1639799,NR13 4JD,30.0,11.0
1639800,NR13 4JE,44.0,22.0
1639801,NR13 4JF,50.0,29.0
1639802,NR13 4JG,38.0,16.0
1639803,NR13 4JH,6.0,3.0
1639804,NR13 4JJ,20.0,11.0
1639805,NR13 4JL,32.0,16.0
1639806,NR13 4JN,26.0,9.0
1639808,NR13 4JQ,11.0,6.0
1639809,NR13 4JR,41.0,28.0
1639810,NR13 4JS,45.0,14.0
1639811,NR13 4JT,56.0,40.0
1639812,NR13 4JU,31.0,11.0
1639813,NR13 4JW,68.0,31.0
1639814,NR13 4JX,13.0,8.0
1639815,NR13 4JY,5.0,4.0
1639816,NR13 4JZ,49.0,19.0
1639817,NR13 4LA,116.0,55.0
1639818,NR13 4LB,58.0,26.0
1639819,NR13 4LD,24.0,12.0
1639820,NR13 4LE,28.0,13.0
1639821,NR13 4LF,17.0,7.0
1639822,NR13 4LG,56.0,22.0
1639823,NR13 4LH,3.0,1.0
1639824,NR13 4LJ,7.0,4.0
1639825,NR13 4LL,35.0,16.0
1639826,NR13 4LN,11.0,5.0
1639827,NR13 4LP,75.0,30.0
1639828,NR13 4LQ,61.0,22.0
1639829,NR13 4LR,75.0,32.0
1639830,NR13 4LS,54.0,20.0
1639831,NR13 4LT,66.0,37.0
1639832,NR13 4LU,58.0,21.0
1639833,NR13 4LW,2.0,1.0
1639834,NR13 4LX,39.0,15.0
1639835,NR13 4LY,76.0,26.0
1639836,NR13 4LZ,47.0,18.0
1639837,NR13 4NA,66.0,29.0
1639838,NR13 4NB,45.0,25.0
1639839,NR13 4ND,4.0,1.0
1639840,NR13 4NE,20.0,9.0
1639841,NR13 4NF,4.0,2.0
1639842,NR13 4NG,8.0,2.0
1639843,NR13 4NH,15.0,6.0
1639844,NR13 4NJ,8.0,3.0
1639845,NR13 4NL,21.0,7.0
1639846,NR13 4NN,2.0,1.0
1639847,NR13 4NP,48.0,23.0
1639848,NR13 4NQ,17.0,10.0
1639849,NR13 4NR,43.0,19.0
1639850,NR13 4NS,17.0,9.0
1639851,NR13 4NT,54.0,22.0
1639852,NR13 4NU,17.0,7.0
1639853,NR13 4NW,11.0,4.0
1639854,NR13 4NX,9.0,4.0
1639855,NR13 4NY,83.0,33.0
1639856,NR13 4NZ,53.0,24.0
1639857,NR13 4PA,45.0,20.0
1639858,NR13 4PB,72.0,33.0
1639859,NR13 4PD,22.0,12.0
1639860,NR13 4PE,15.0,5.0
1639861,NR13 4PF,27.0,8.0
1639864,NR13 4PJ,26.0,10.0
1639865,NR13 4PL,14.0,5.0
1639866,NR13 4PN,45.0,20.0
1639867,NR13 4PP,7.0,2.0
1639868,NR13 4PQ,10.0,3.0
1639869,NR13 4PR,11.0,4.0
1639870,NR13 4PS,92.0,44.0
1639871,NR13 4PT,27.0,10.0
1639872,NR13 4PU,18.0,8.0
1639873,NR13 4PW,3.0,1.0
1639874,NR13 4PX,14.0,5.0
1639875,NR13 4PY,30.0,13.0
1639876,NR13 4PZ,9.0,5.0
1639877,NR13 4QA,8.0,5.0
1639878,NR13 4QB,66.0,30.0
1639879,NR13 4QD,12.0,5.0
1639880,NR13 4QE,7.0,2.0
1639881,NR13 4QF,21.0,8.0
1639882,NR13 4QG,8.0,3.0
1639883,NR13 4QH,46.0,17.0
1639884,NR13 4QJ,61.0,27.0
1639885,NR13 4QL,5.0,2.0
1639886,NR13 4QN,27.0,13.0
1639887,NR13 4QP,8.0,3.0
1639888,NR13 4QQ,77.0,35.0
1639889,NR13 4QR,33.0,14.0
1639890,NR13 4QS,114.0,43.0
1639891,NR13 4QT,18.0,8.0
1639892,NR13 4QU,11.0,4.0
1639893,NR13 4QW,7.0,2.0
1639894,NR13 4QX,8.0,4.0
1639896,NR13 4QZ,75.0,32.0
1639897,NR13 4RA,111.0,38.0
1639901,NR13 4RF,15.0,9.0
1639902,NR13 4RG,6.0,2.0
1639903,NR13 4RH,34.0,15.0
1639904,NR13 4RJ,15.0,8.0
1639906,NR13 4RN,6.0,2.0
1639907,NR13 4RP,13.0,7.0
1639908,NR13 4RQ,39.0,14.0
1639909,NR13 4RR,43.0,15.0
1639910,NR13 4RS,99.0,46.0
1639911,NR13 4RT,75.0,34.0
1639912,NR13 4RU,64.0,33.0
1639913,NR13 4RW,7.0,2.0
1639914,NR13 4RX,37.0,19.0
1639915,NR13 4RY,41.0,19.0
1639916,NR13 4RZ,33.0,12.0
1639917,NR13 4SA,127.0,48.0
1639918,NR13 4SB,14.0,7.0
1639919,NR13 4SD,13.0,7.0
1639920,NR13 4SE,16.0,6.0
1639921,NR13 4SF,13.0,8.0
1639922,NR13 4SG,13.0,5.0
1639927,NR13 4SP,21.0,11.0
1639928,NR13 4SQ,5.0,1.0
1639929,NR13 4SR,4.0,2.0
1639930,NR13 4SS,8.0,2.0
1639931,NR13 4ST,17.0,7.0
1639932,NR13 4SU,4.0,1.0
1639934,NR13 4SX,11.0,3.0
1639935,NR13 4SY,5.0,3.0
1639936,NR13 4SZ,31.0,14.0
1639937,NR13 4TA,68.0,24.0
1639938,NR13 4TB,7.0,4.0
1639939,NR13 4TD,2.0,1.0
1639940,NR13 4TE,2.0,1.0
1639941,NR13 4TF,25.0,12.0
1639942,NR13 4TG,94.0,43.0
1639943,NR13 4TH,55.0,21.0
1639944,NR13 4TJ,8.0,4.0
1639945,NR13 4TL,48.0,21.0
1639947,NR13 4TP,10.0,5.0
1639948,NR13 4TQ,18.0,8.0
1639949,NR13 4TR,17.0,9.0
1639950,NR13 4TS,11.0,7.0
1639951,NR13 4TT,9.0,4.0
1639952,NR13 4TU,22.0,8.0
1639953,NR13 4TW,7.0,2.0
1639961,NR13 4UH,13.0,4.0
1639962,NR13 4UN,15.0,5.0
1639990,NR13 5AA,66.0,32.0
1639991,NR13 5AB,73.0,28.0
1639992,NR13 5AD,30.0,16.0
1639993,NR13 5AE,61.0,38.0
1639994,NR13 5AF,87.0,32.0
1639995,NR13 5AG,20.0,12.0
1639996,NR13 5AH,9.0,5.0
1639997,NR13 5AJ,31.0,18.0
1639998,NR13 5AL,1.0,1.0
1640000,NR13 5AP,6.0,2.0
1640001,NR13 5AQ,24.0,9.0
1640003,NR13 5AS,2.0,1.0
1640004,NR13 5AT,3.0,1.0
1640005,NR13 5AU,2.0,1.0
1640007,NR13 5AX,19.0,7.0
1640008,NR13 5AY,15.0,5.0
1640011,NR13 5BB,22.0,9.0
1640012,NR13 5BD,6.0,3.0
1640013,NR13 5BE,8.0,2.0
1640015,NR13 5BG,13.0,4.0
1640016,NR13 5BH,105.0,42.0
1640017,NR13 5BJ,13.0,6.0
1640018,NR13 5BL,32.0,12.0
1640019,NR13 5BN,44.0,16.0
1640020,NR13 5BP,25.0,11.0
1640021,NR13 5BQ,59.0,26.0
1640022,NR13 5BS,74.0,31.0
1640023,NR13 5BT,189.0,66.0
1640024,NR13 5BU,38.0,15.0
1640025,NR13 5BW,80.0,30.0
1640026,NR13 5BX,6.0,2.0
1640027,NR13 5BY,29.0,10.0
1640028,NR13 5BZ,12.0,6.0
1640029,NR13 5DA,23.0,8.0
1640030,NR13 5DB,2.0,1.0
1640031,NR13 5DD,29.0,9.0
1640032,NR13 5DE,60.0,24.0
1640033,NR13 5DF,34.0,11.0
1640034,NR13 5DG,131.0,47.0
