,Postcode,Population,Households
1635733,NR1 2DG,37.0,35.0
1635747,NR1 2DZ,33.0,27.0
1635749,NR1 2EB,18.0,11.0
1635752,NR1 2EF,1.0,1.0
1635753,NR1 2EG,19.0,8.0
1635755,NR1 2EJ,21.0,11.0
1635756,NR1 2EL,72.0,39.0
1635757,NR1 2EN,3.0,1.0
1635758,NR1 2EP,35.0,22.0
1635759,NR1 2EQ,26.0,11.0
1635760,NR1 2ER,39.0,25.0
1635761,NR1 2ES,11.0,4.0
1635762,NR1 2ET,41.0,25.0
1635763,NR1 2EU,14.0,5.0
1635764,NR1 2EW,27.0,13.0
1635765,NR1 2EX,2.0,1.0
1635766,NR1 2EY,65.0,26.0
1635767,NR1 2EZ,35.0,16.0
1635769,NR1 2FB,15.0,6.0
1635770,NR1 2FD,6.0,4.0
1635771,NR1 2FE,11.0,6.0
1635772,NR1 2FF,9.0,5.0
1635773,NR1 2FG,44.0,29.0
1635774,NR1 2GA,31.0,19.0
1635776,NR1 2GD,53.0,32.0
1635777,NR1 2GE,34.0,24.0
1635778,NR1 2GG,110.0,82.0
1635779,NR1 2GN,17.0,4.0
1635782,NR1 2HA,65.0,33.0
1635783,NR1 2HB,52.0,41.0
1635785,NR1 2HE,4.0,2.0
1635786,NR1 2HF,119.0,63.0
1635787,NR1 2HG,9.0,3.0
1635789,NR1 2HJ,71.0,32.0
1635790,NR1 2HL,2.0,1.0
1635791,NR1 2HN,41.0,16.0
1635792,NR1 2HP,50.0,26.0
1635793,NR1 2HQ,51.0,28.0
1635795,NR1 2HS,6.0,2.0
1635796,NR1 2HT,46.0,28.0
1635799,NR1 2HX,24.0,14.0
1635800,NR1 2HY,51.0,23.0
1635801,NR1 2HZ,72.0,25.0
1635804,NR1 2JD,102.0,37.0
1635805,NR1 2JE,35.0,13.0
1635806,NR1 2JF,83.0,46.0
1635807,NR1 2JG,127.0,54.0
1635808,NR1 2JH,38.0,16.0
1635809,NR1 2JJ,5.0,4.0
1635810,NR1 2JL,5.0,1.0
1635811,NR1 2JN,34.0,13.0
1635812,NR1 2JP,11.0,4.0
1635813,NR1 2JQ,98.0,43.0
1635814,NR1 2JR,39.0,17.0
1635815,NR1 2JS,87.0,27.0
1635816,NR1 2JT,54.0,24.0
1635817,NR1 2JU,21.0,10.0
1635818,NR1 2JW,19.0,7.0
1635819,NR1 2JX,108.0,41.0
1635820,NR1 2JY,29.0,12.0
1635821,NR1 2JZ,104.0,34.0
1635822,NR1 2LA,58.0,20.0
1635823,NR1 2LB,36.0,26.0
1635824,NR1 2LD,15.0,6.0
1635825,NR1 2LE,150.0,58.0
1635826,NR1 2LF,42.0,14.0
1635827,NR1 2LG,23.0,9.0
1635828,NR1 2LH,101.0,62.0
1635829,NR1 2LJ,39.0,26.0
1635830,NR1 2LL,165.0,59.0
1635831,NR1 2LN,46.0,17.0
1635832,NR1 2LP,51.0,14.0
1635833,NR1 2LQ,63.0,22.0
1635834,NR1 2LR,43.0,20.0
1635835,NR1 2LS,26.0,9.0
1635836,NR1 2LT,2.0,2.0
1635837,NR1 2LU,68.0,30.0
1635838,NR1 2LW,83.0,26.0
1635839,NR1 2LX,40.0,21.0
1635840,NR1 2LY,4.0,2.0
1635841,NR1 2LZ,5.0,3.0
1635842,NR1 2NA,7.0,2.0
1635843,NR1 2NB,66.0,37.0
1635844,NR1 2ND,21.0,12.0
1635845,NR1 2NE,86.0,37.0
1635846,NR1 2NF,95.0,34.0
1635847,NR1 2NG,110.0,54.0
1635848,NR1 2NH,9.0,5.0
1635849,NR1 2NJ,48.0,26.0
1635850,NR1 2NL,42.0,20.0
1635851,NR1 2NN,20.0,8.0
1635852,NR1 2NP,27.0,13.0
1635853,NR1 2NQ,60.0,28.0
1635854,NR1 2NR,16.0,5.0
1635855,NR1 2NS,7.0,2.0
1635856,NR1 2NT,157.0,64.0
1635857,NR1 2NU,47.0,20.0
1635858,NR1 2NW,65.0,34.0
1635859,NR1 2NX,121.0,50.0
1635860,NR1 2NY,117.0,56.0
1635861,NR1 2NZ,123.0,44.0
1635862,NR1 2PA,120.0,47.0
1635863,NR1 2PB,33.0,14.0
1635864,NR1 2PD,102.0,49.0
1635865,NR1 2PE,48.0,29.0
1635866,NR1 2PF,21.0,12.0
1635867,NR1 2PG,53.0,33.0
1635868,NR1 2PH,87.0,36.0
1635869,NR1 2PJ,87.0,41.0
1635871,NR1 2PN,32.0,14.0
1635872,NR1 2PP,48.0,23.0
1635873,NR1 2PQ,46.0,34.0
1635875,NR1 2PS,37.0,18.0
1635876,NR1 2PT,35.0,15.0
1635877,NR1 2PU,22.0,10.0
1635878,NR1 2PW,54.0,24.0
1635879,NR1 2PX,137.0,60.0
1635880,NR1 2PY,91.0,48.0
1635881,NR1 2PZ,10.0,6.0
1635882,NR1 2QA,19.0,11.0
1635883,NR1 2QB,23.0,12.0
1635884,NR1 2QD,36.0,27.0
1635885,NR1 2QE,5.0,3.0
1635886,NR1 2QF,39.0,19.0
1635887,NR1 2QG,21.0,10.0
1635888,NR1 2QH,62.0,27.0
1635889,NR1 2QJ,36.0,0.0
1635890,NR1 2QL,85.0,34.0
1635891,NR1 2QN,75.0,31.0
1635892,NR1 2QP,49.0,24.0
1635893,NR1 2QQ,54.0,22.0
1635894,NR1 2QR,64.0,32.0
1635895,NR1 2QS,49.0,23.0
1635896,NR1 2QT,22.0,8.0
1635897,NR1 2QU,37.0,16.0
1635898,NR1 2QW,66.0,29.0
1635899,NR1 2QX,47.0,24.0
1635900,NR1 2QY,40.0,24.0
1635901,NR1 2QZ,13.0,8.0
1635902,NR1 2RA,20.0,17.0
1635903,NR1 2RB,9.0,6.0
1635904,NR1 2RD,67.0,28.0
1635905,NR1 2RE,21.0,11.0
1635906,NR1 2RF,95.0,63.0
1635907,NR1 2RG,37.0,30.0
1635908,NR1 2RH,23.0,16.0
1635909,NR1 2RJ,70.0,36.0
1635910,NR1 2RL,7.0,7.0
1635911,NR1 2RN,24.0,8.0
1635912,NR1 2RP,63.0,38.0
1635914,NR1 2RR,86.0,48.0
1635915,NR1 2RS,24.0,14.0
1635916,NR1 2RT,31.0,11.0
1635917,NR1 2RU,32.0,11.0
1635918,NR1 2RW,26.0,10.0
1635919,NR1 2RX,18.0,8.0
1635920,NR1 2RY,92.0,35.0
1635921,NR1 2RZ,12.0,7.0
1635925,NR1 2SE,3.0,1.0
1635946,NR1 2TF,16.0,11.0
1635948,NR1 2TH,5.0,2.0
1635950,NR1 2TL,39.0,26.0
1635952,NR1 2TP,21.0,14.0
1635983,NR1 3AB,95.0,50.0
1635985,NR1 3AE,3.0,3.0
1635986,NR1 3AF,74.0,43.0
1635988,NR1 3AH,2.0,1.0
1635989,NR1 3AJ,25.0,9.0
1635992,NR1 3AP,58.0,8.0
1635994,NR1 3AR,20.0,10.0
1635995,NR1 3AS,50.0,20.0
1635996,NR1 3AT,13.0,5.0
1635997,NR1 3AU,14.0,5.0
1635998,NR1 3AW,59.0,25.0
1635999,NR1 3AX,71.0,37.0
1636000,NR1 3AY,86.0,41.0
1636001,NR1 3AZ,12.0,6.0
1636002,NR1 3BA,23.0,12.0
1636003,NR1 3BB,8.0,4.0
1636005,NR1 3BE,8.0,4.0
1636006,NR1 3BF,90.0,52.0
1636007,NR1 3BG,9.0,6.0
1636011,NR1 3BN,34.0,22.0
1636012,NR1 3BP,8.0,4.0
1636013,NR1 3BQ,56.0,40.0
1636014,NR1 3BS,7.0,3.0
1636015,NR1 3BT,10.0,10.0
1636016,NR1 3BU,20.0,16.0
1636017,NR1 3BW,82.0,48.0
1636018,NR1 3BX,45.0,39.0
1636027,NR1 3DH,1.0,1.0
1636035,NR1 3DT,11.0,5.0
1636039,NR1 3DY,6.0,2.0
1636040,NR1 3DZ,29.0,17.0
1636043,NR1 3ED,77.0,62.0
1636047,NR1 3EH,2.0,1.0
1636048,NR1 3EJ,7.0,3.0
1636050,NR1 3EN,35.0,22.0
1636053,NR1 3ER,74.0,48.0
1636054,NR1 3ES,11.0,4.0
1636055,NR1 3ET,26.0,18.0
1636058,NR1 3EX,51.0,32.0
1636059,NR1 3EY,21.0,11.0
1636061,NR1 3FA,15.0,8.0
1636084,NR1 3GE,92.0,55.0
1636098,NR1 3GX,28.0,0.0
1636102,NR1 3HB,20.0,14.0
1636103,NR1 3HD,24.0,17.0
1636104,NR1 3HE,5.0,3.0
1636105,NR1 3HF,7.0,5.0
1636106,NR1 3HG,21.0,11.0
1636107,NR1 3HH,72.0,42.0
1636108,NR1 3HJ,55.0,33.0
1636109,NR1 3HL,21.0,15.0
1636110,NR1 3HN,78.0,47.0
1636111,NR1 3HP,25.0,15.0
1636112,NR1 3HQ,29.0,16.0
1636113,NR1 3HR,60.0,39.0
1636114,NR1 3HS,89.0,59.0
1636115,NR1 3HT,4.0,2.0
1636116,NR1 3HU,48.0,32.0
1636117,NR1 3HW,55.0,36.0
1636118,NR1 3HX,80.0,40.0
1636119,NR1 3HY,11.0,6.0
1636120,NR1 3HZ,18.0,9.0
1636121,NR1 3JA,16.0,12.0
1636122,NR1 3JB,87.0,55.0
1636123,NR1 3JD,15.0,6.0
1636124,NR1 3JE,51.0,24.0
1636130,NR1 3JN,8.0,5.0
1636135,NR1 3JT,2.0,1.0
1636138,NR1 3JX,2.0,1.0
1636140,NR1 3JZ,8.0,5.0
1636142,NR1 3LB,3.0,1.0
1636145,NR1 3LF,44.0,32.0
1636159,NR1 3LY,3.0,2.0
1636162,NR1 3NB,8.0,5.0
1636178,NR1 3NX,38.0,22.0
1636179,NR1 3NY,2.0,1.0
1636182,NR1 3PB,2.0,1.0
1636183,NR1 3PD,2.0,1.0
1636186,NR1 3PG,40.0,17.0
1636187,NR1 3PH,33.0,30.0
1636190,NR1 3PN,5.0,1.0
1636191,NR1 3PP,22.0,11.0
1636195,NR1 3PT,95.0,45.0
1636196,NR1 3PU,60.0,28.0
1636198,NR1 3PX,81.0,47.0
1636202,NR1 3QB,1.0,1.0
1636203,NR1 3QD,2.0,1.0
1636218,NR1 3QX,73.0,27.0
1636219,NR1 3QY,25.0,15.0
1636220,NR1 3QZ,80.0,53.0
1636221,NR1 3RA,26.0,9.0
1636222,NR1 3RB,87.0,38.0
1636223,NR1 3RD,88.0,40.0
1636224,NR1 3RE,45.0,30.0
1636227,NR1 3RH,49.0,23.0
1636228,NR1 3RJ,58.0,24.0
1636230,NR1 3RN,5.0,2.0
1636231,NR1 3RP,34.0,19.0
1636232,NR1 3RQ,66.0,46.0
1636233,NR1 3RR,71.0,34.0
1636234,NR1 3RS,31.0,15.0
1636235,NR1 3RT,26.0,12.0
1636237,NR1 3RW,23.0,14.0
1636243,NR1 3SD,36.0,23.0
1636246,NR1 3SG,115.0,82.0
1636248,NR1 3SJ,108.0,80.0
1636250,NR1 3SN,106.0,77.0
1636251,NR1 3SP,3.0,1.0
1636254,NR1 3SS,47.0,24.0
1636263,NR1 3TD,31.0,25.0
1636268,NR1 3TJ,33.0,27.0
1636357,NR1 4AA,53.0,24.0
1636358,NR1 4AB,3.0,2.0
1636359,NR1 4AD,75.0,30.0
1636360,NR1 4AE,71.0,30.0
1636361,NR1 4AF,47.0,25.0
1636363,NR1 4AH,25.0,10.0
1636364,NR1 4AJ,21.0,10.0
1636365,NR1 4AL,34.0,16.0
1636366,NR1 4AN,30.0,16.0
1636367,NR1 4AP,58.0,22.0
1636368,NR1 4AQ,31.0,14.0
1636369,NR1 4AR,7.0,7.0
1636370,NR1 4AS,80.0,39.0
1636371,NR1 4AT,59.0,30.0
1636372,NR1 4AU,25.0,13.0
1636373,NR1 4AW,17.0,12.0
1636374,NR1 4AX,31.0,14.0
1636375,NR1 4AY,19.0,12.0
1636376,NR1 4AZ,5.0,4.0
1636377,NR1 4BA,37.0,16.0
1636378,NR1 4BB,86.0,46.0
1636379,NR1 4BD,24.0,14.0
1636380,NR1 4BE,29.0,13.0
1636381,NR1 4BG,8.0,3.0
1636382,NR1 4BH,40.0,17.0
1636383,NR1 4BJ,82.0,41.0
1636384,NR1 4BL,17.0,11.0
1636385,NR1 4BN,72.0,34.0
1636386,NR1 4BP,48.0,10.0
1636388,NR1 4BS,74.0,37.0
1636389,NR1 4BT,30.0,15.0
1636390,NR1 4BU,25.0,17.0
1636391,NR1 4BW,48.0,33.0
1636392,NR1 4BX,94.0,63.0
1636394,NR1 4BZ,8.0,4.0
1636395,NR1 4DA,25.0,13.0
1636396,NR1 4DB,47.0,27.0
1636397,NR1 4DD,7.0,4.0
1636401,NR1 4DH,26.0,13.0
1636414,NR1 4DZ,53.0,20.0
1636420,NR1 4EG,47.0,22.0
1636421,NR1 4EH,22.0,8.0
1636422,NR1 4EJ,101.0,89.0
1636423,NR1 4EL,11.0,0.0
1636424,NR1 4EN,92.0,67.0
1636425,NR1 4EP,67.0,41.0
1636426,NR1 4EQ,5.0,2.0
1636429,NR1 4ET,37.0,22.0
1636431,NR1 4EW,58.0,32.0
1636432,NR1 4EX,50.0,22.0
1636434,NR1 4EZ,26.0,17.0
1636435,NR1 4FD,121.0,43.0
1636440,NR1 4HA,35.0,18.0
1636441,NR1 4HB,31.0,15.0
1636442,NR1 4HD,57.0,30.0
1636443,NR1 4HE,26.0,14.0
1636444,NR1 4HF,22.0,9.0
1636445,NR1 4HG,11.0,7.0
1636446,NR1 4HH,137.0,64.0
1636448,NR1 4HL,30.0,9.0
1636450,NR1 4HP,119.0,52.0
1636451,NR1 4HQ,79.0,41.0
1636453,NR1 4HS,54.0,27.0
1636454,NR1 4HT,76.0,35.0
1636455,NR1 4HU,65.0,29.0
1636457,NR1 4HX,42.0,21.0
1636458,NR1 4HY,58.0,40.0
1636459,NR1 4HZ,84.0,44.0
1636460,NR1 4JA,19.0,11.0
1636461,NR1 4JB,1.0,1.0
1636462,NR1 4JD,8.0,5.0
1636463,NR1 4JE,4.0,3.0
1636464,NR1 4JF,72.0,33.0
1636465,NR1 4JG,43.0,21.0
1636466,NR1 4JH,24.0,16.0
1636467,NR1 4JJ,62.0,33.0
1636468,NR1 4JL,47.0,30.0
1636469,NR1 4JN,120.0,66.0
1636470,NR1 4JP,9.0,6.0
1636471,NR1 4JQ,11.0,9.0
1636472,NR1 4JR,11.0,6.0
1636473,NR1 4JS,13.0,4.0
1636474,NR1 4JT,40.0,17.0
1636475,NR1 4JU,47.0,23.0
1636476,NR1 4JW,57.0,26.0
1636477,NR1 4JX,43.0,20.0
1636478,NR1 4JY,50.0,20.0
1636479,NR1 4JZ,2.0,2.0
